"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Group__c","nFORCE__Is_Hidden__c","nFORCE__Order__c","nFORCE__Parent_Route__c","nFORCE__Route__c","nFORCE__lookupKey__c","nPortal__Is_Portal_Enabled__c","nFORCE__Orchestration_Step__c","nPortal__OA_Auto_Decision_Required__c","nPortal__OA_Business_Credit_Pull_Required__c","nFORCE__Has_Visibility_Criteria__c","nFORCE__Is_Default_Context_Child__c","nFORCE__Is_Forward_Navigation_Disabled__c","nFORCE__Question_Group__c","nFORCE__Visibility_Criteria__c","Route_App_Name__c","Route_Screen__c","nFORCE__Conditional_Display_Criteria__c","nPortal__OA_Credit_Pull_Required__c","nFORCE__Primary_Button_Text__c"
"a2D5f000000p18yEAA","0055f000004XdsRAAS","","0399","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDREA0","false","4.0","","a2E5f000000y1n0EAA","a2D5f000000p18yEAA","false","","false","false","false","false","false","","","","","","false",""
"a2D5f000000p18zEAA","0055f000004XdsRAAS","","0400","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDSEA0","false","2.0","a2E5f000000y1nVEAQ","a2E5f000000y1ncEAA","a2D5f000000p18zEAA","false","","false","false","false","false","false","","","","","","false",""
"a2D5f000000p190EAA","0055f000004XdsRAAS","","0401","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDREA0","false","2.0","a2E5f000000y1nVEAQ","a2E5f000000y1ncEAA","a2D5f000000p190EAA","false","","false","false","false","false","false","","","","","","false",""
"a2D5f000000p191EAA","0055f000004XdsRAAS","","0402","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDWEA0","false","3020.0","a2E5f000000y1ngEAA","a2E5f000000y1ngEAA","a2D5f000000p191EAA","false","","false","false","false","false","false","","","","","","false",""
"a2D5f000000p192EAA","0055f000004XdsRAAS","","0404","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDUEA0","false","3020.0","a2E5f000000y1ngEAA","a2E5f000000y1ngEAA","a2D5f000000p192EAA","false","","false","false","false","false","false","","","","","","false",""
"a2D5f000000p193EAA","0055f000004XdsRAAS","","0405","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDXEA0","false","3020.0","a2E5f000000y1ngEAA","a2E5f000000y1ngEAA","a2D5f000000p193EAA","false","","false","false","false","false","false","","","","","","false",""
"a2D5f000000p194EAA","0055f000004XdsRAAS","","0406","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDWEA0","false","3000.0","","a2E5f000000y1ngEAA","a2D5f000000p194EAA","false","","false","false","false","false","false","","","","","","false",""
"a2D5f000000p195EAA","0055f000004XdsRAAS","","0408","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDUEA0","false","3000.0","","a2E5f000000y1ngEAA","a2D5f000000p195EAA","false","","false","false","false","false","false","","","","","","false",""
"a2D5f000000p196EAA","0055f000004XdsRAAS","","0409","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDXEA0","false","3000.0","","a2E5f000000y1ngEAA","a2D5f000000p196EAA","false","","false","false","false","false","false","","","","","","false",""
"a2D5f000000p197EAA","0055f000004XdsRAAS","","0412","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDTEA0","false","8100070.0","a2E5f000000y1oAEAQ","a2E5f000000y1noEAA","a2D5f000000p197EAA","false","","false","false","false","false","false","","","","","","false",""
